question_number	category	scales	hl_subscale	content_scale
1	Personality Traits	-	-	-
2	Clinical Scales	Hs,D,Hy,RCd,RC1	D3	HEA
3	Clinical Scales	Hs,D,Hy,Pt,RCd,RC1,RC7	Hy1	-
4	Personality Traits	-	-	-
5	Clinical Scales	Hs,RC1	D1	-
6	Clinical Scales	Hy	-	-
7	Clinical Scales	Hy	-	-
8	Clinical Scales	Hy	Ma3	-
9	Clinical Scales	D,Hy,RCd,RC2	D1	DEP
10	Clinical Scales	Hs,D,Hy,Pt,RCd,RC1,RC7	D3	HEA
11	Personality Traits	-	-	-
12	Clinical Scales	Hy,AGGR,DISC,RC4	Pd3	ANG
13	Clinical Scales	DISC,RC4	-	ANG
14	Validity Scales	F,Hy	Hy1	-
15	Validity Scales	L,Pt,NEGE,RC7	D1	WRK
16	Clinical Scales	Pd,DISC,RC4	Hy1	ANG
17	Clinical Scales	Pd	-	-
18	Clinical Scales	Hs,D,Hy,RCd,RC1	D3	-
19	Clinical Scales	AGGR,DISC,RC4	Ma1	ANG
20	Clinical Scales	Hs,D,DISC,RCd,RC1,RC4	Hy1	HEA
21	Clinical Scales	Pd	Pd1	-
22	Clinical Scales	Pd,Pt,NEGE,RC7	Sc5	-
23	Validity Scales	F,D,RCd	Sc5	-
24	Clinical Scales	Pd,AGGR,DISC,RC4	D1	ANG
25	Mental Health Screening	-	D2	-
26	Clinical Scales	Hy	Pa3	-
27	Validity Scales	F,AGGR,PSYC,NEGE,RC3,RC8,RC9	D1	BIZ
28	Clinical Scales	Hs,Hy,RC1	Hy4	-
29	Validity Scales	K,Hy	-	-
30	Validity Scales	L,Hy	-	-
31	Validity Scales	F,Pd,Pt,PSYC,NEGE,RC7,RC8,RC9	D1	BIZ
32	Clinical Scales	Pd,Pt,RC7	-	-
33	Validity Scales	F,Hs,D,AGGR,PSYC,NEGE,RCd,RC1,RC3,RC8,RC9	D1	OBS
34	Validity Scales	F,Pd,AGGR,DISC,RC4	Hy2	ANG
35	Validity Scales	F,Pd	Pd2	-
36	Validity Scales	F,INTR	D3	SOD
37	Validity Scales	K	Hy2	-
38	Clinical Scales	D,DISC,NEGE,RCd,RC2,RC4	D1	DEP
39	Clinical Scales	Hs,D,Hy,Pt,NEGE,RCd,RC1,RC2,RC7	-	ANX
40	Clinical Scales	Hs,RC1	Hy2	-
41	Clinical Scales	D,DISC,RCd,RC4	-	ANG
42	Validity Scales	F,Pd,AGGR,PSYC,DISC,NEGE,RC2,RC3,RC4,RC8,RC9	Hy2	DEP
43	Clinical Scales	D,RCd	-	-
44	Clinical Scales	Hs,NEGE,RC1	D3	-
45	Validity Scales	L,Hs,D,RCd,RC1	Sc5	-
46	Clinical Scales	D,AGGR,DISC,NEGE,RCd,RC4	D1	ANG
47	Clinical Scales	Hs,RC1	Hy2	HEA
48	Validity Scales	F	D3	-
49	Personality Traits	-	-	-
50	Validity Scales	F,PSYC,RC2,RC8,RC9	D1	DEP
51	Mental Health Screening	NEGE	-	LSE
